Scenario, 2

Time, ActionID, Action Parameters...
104646, 1814, 12
104646, 1814, 14
104646, 1814, 15
104646, 1814, 21
104646, 1814, 38
104646, 1814, 40
104647, 1811, 1, 8
104647, 1811, 2, 8
104647, 1811, 3, 8
104647, 1811, 4, 8
104647, 1811, 5, 8
104647, 1811, 6, 8
104647, 1811, 7, 8
104647, 1811, 8, 8
104647, 1811, 9, 8
104647, 1811, 10, 8
104647, 1811, 11, 8
104647, 1811, 12, 8
104647, 1811, 14, 8
104647, 1811, 15, 8
104647, 1811, 21, 8
104647, 1811, 38, 8
104647, 1811, 40, 8
